"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000005884",6978.65834585669,-0.00367057454037522,0.0440580743693536,-0.0833121872191592,0.933603309985298,0.95518539274997,"ITGA3","3675"
"ENSG00000005882",332.025626134443,0.345900507015228,0.10236488191819,3.3790934989958,0.00072725269890069,0.00170320201436491,"PDK2","5164"
"ENSG00000167100",565.575988500558,1.16149073412607,0.0945446350769961,12.2851046300001,1.08904032073649e-34,1.26779433230762e-33,"SAMD14","201191"
"ENSG00000108819",1974.0563013998,0.317625414074885,0.0516517665217897,6.14936207343251,7.77952033717598e-10,3.16725333506352e-09,"PPP1R9B","84687"
"ENSG00000108823",3.15223227538302,-0.125084694051615,0.990867506349414,-0.126237557746198,0.899543882375105,0.931198829700379,"SGCA","6442"
"ENSG00000108821",394000.325905154,0.296800905285659,0.0447221152187092,6.63655786033783,3.21092930934052e-11,1.43663254890894e-10,"COL1A1","1277"
"ENSG00000167105",21.8306908167846,0.330970397313138,0.388060448024822,0.852883613874424,0.393723849491571,0.508117521349105,"TMEM92","162461"
"ENSG00000015532",1423.68855935204,0.0852267272827312,0.0611886980168821,1.39285080488585,0.163664911465622,0.244386369319183,"XYLT2","64132"
"ENSG00000108826",503.131722942395,-0.134419873555544,0.0848871164801067,-1.58351324829187,0.1133045294599,0.177382850560868,"MRPL27","51264"
"ENSG00000154920",32.4813045189648,-2.39887847360135,0.36699044265702,-6.53662383203607,6.29230425356643e-11,2.75999940741256e-10,"EME1","146956"
"ENSG00000108829",3850.57518186778,-1.4751760959328,0.0513457658429172,-28.7302384474278,1.59943723059237e-181,2.20303793499723e-179,"LRRC59","55379"
"ENSG00000167107",161.770709572513,-0.635202481199403,0.143817194927116,-4.41673529734266,1.00202814198666e-05,2.90534935207543e-05,"ACSF2","80221"
"ENSG00000136457",1.45885902247539,0.810878158589351,1.4576198924466,0.556302889931271,0.5780038118956,0.684116622206661,"CHAD","1101"
"ENSG00000136444",389.754959847122,0.11735655517457,0.094376788006905,1.24348960854637,0.213687467845482,0.307311270599797,"RSAD1","55316"
"ENSG00000136449",2.43610912550097,-0.206055195125524,1.13285227388123,-0.181890613521535,0.85566857094731,0.902385931922823,"MYCBPAP","84073"
